attendance,away_team,away_team_errors,away_team_hits,away_team_runs,boxscore_url,game_duration,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,weekday,year,month,day,period,field_type,start_time_weather
36220,Chicago Cubs,0,15,9,https://www.baseball-reference.com/boxes/CIN/CIN201604240.shtml,03:08:00,Cincinnati Reds,0,3,0,1:11 p.m.,Great American Ball Park,Sunday, 2016,April,24,Day Game, on grass,"9&deg; F, Wind 7mph in from Rightfield, Sunny."
26058,Texas Rangers,0,8,1,https://www.baseball-reference.com/boxes/CHA/CHA201604240.shtml,02:52:00,Chicago White Sox,1,8,4,1:11 p.m.,U.S. Cellular Field,Sunday, 2016,April,24,Day Game, on grass,"0&deg; F, Wind 9mph from Right to Left, Cloudy."
32085,New York Mets,0,7,3,https://www.baseball-reference.com/boxes/ATL/ATL201604240.shtml,02:56:00,Atlanta Braves,0,12,2,1:35 p.m.,Turner Field,Sunday, 2016,April,24,Day Game, on grass,"5&deg; F, Wind 5mph out to Leftfield, Sunny."
27573,Pittsburgh Pirates,0,20,12,https://www.baseball-reference.com/boxes/ARI/ARI201604240.shtml,05:25:00,Arizona Diamondbacks,2,15,10,1:10 p.m.,Chase Field,Sunday, 2016,April,24,Day Game, on grass,"2&deg; F, Wind 0mph, In Dome."
37754,Seattle Mariners,0,8,9,https://www.baseball-reference.com/boxes/ANA/ANA201604240.shtml,02:43:00,Los Angeles Angels of Anaheim,3,6,4,12:37 p.m.,Angel Stadium of Anaheim,Sunday, 2016,April,24,Day Game, on grass,"4&deg; F, Wind 11mph out to Centerfield, Cloudy."
35974,Minnesota Twins,0,2,0,https://www.baseball-reference.com/boxes/WAS/WAS201604230.shtml,02:39:00,Washington Nationals,0,7,2,1:05 p.m.,Nationals Park,Saturday, 2016,April,23,Day Game, on grass,"3&deg; F, Wind 7mph out to Leftfield, Cloudy."
46334,Oakland Athletics,1,7,3,https://www.baseball-reference.com/boxes/TOR/TOR201604230.shtml,02:38:00,Toronto Blue Jays,0,13,9,1:07 p.m.,Rogers Centre,Saturday, 2016,April,23,Day Game, on turf,"8&deg; F, Wind 0mph, In Dome."
41886,Miami Marlins,0,8,2,https://www.baseball-reference.com/boxes/SFN/SFN201604230.shtml,02:46:00,San Francisco Giants,1,13,7,6:05 p.m.,AT&T Park,Saturday, 2016,April,23,Night Game, on grass,"0&deg; F, Wind 14mph out to Centerfield, Cloudy."
31688,St. Louis Cardinals,1,16,11,https://www.baseball-reference.com/boxes/SDN/SDN201604230.shtml,03:06:00,San Diego Padres,0,5,2,5:41 p.m.,Petco Park,Saturday, 2016,April,23,Night Game, on grass,"8&deg; F, Wind 12mph from Left to Right, Sunny."
40714,Tampa Bay Rays,2,6,2,https://www.baseball-reference.com/boxes/NYA/NYA201604230.shtml,02:55:00,New York Yankees,0,7,3,1:09 p.m.,Yankee Stadium III,Saturday, 2016,April,23,Day Game, on grass,"2&deg; F, Wind 13mph in from Leftfield."
